WT_P62	Y2_P37_28	YT2_P37_7_17	gene_id
3.30974713315939	3.18107330972692	3.01685584978015	WASH7P
-3.17061032433246	-3.06857888418613	-3.05314308572871	ENSG00000241860
-0.25004479182686	0.240173821953504	-0.00478006416730732	ENSG00000308579
-3.17061032433246	-3.35808550138111	-3.05314308572871	ENSG00000268903
1.5058505308742	1.68630861797734	1.42406323463657	ENSG00000269981
-2.80804024494775	-1.24260828396117	-1.86871851459128	ENSG00000239906
-3.17061032433246	-2.00444854676641	-3.34264970292369	DDX11L2
2.36633066152576	2.60898060925681	2.39731837940404	WASH9P
-1.89050240513972	-3.35808550138111	-4.19064660947864	ENSG00000292994
1.38835696785576	1.70560917393628	1.7957643257734	ENSG00000290385
2.18694168028563	1.98374215094396	2.23225913313354	LINC00115
-0.145075232225318	-0.338185943943406	-0.784654249802804	MTND2P28
1.89855170017494	2.05319007910153	1.58018243655385	MTCO1P12
6.36494278740152	6.14198177679298	6.50857879183657	MTATP6P1
-0.1966055328654	0.0111483082846089	0.0873381378211241	LINC01409
3.19945429159918	3.1567381175982	3.43433157009039	LINC01128
2.24603642780805	2.90870103931379	1.56957433698787	ENSG00000272438
0.288821294304842	-0.695120488658681	-4.19064660947864	LINC02593
2.25565443036964	0.729377339869229	-3.05314308572871	SAMD11
7.26654725121097	7.67938519012349	7.49418965682503	NOC2L
4.2278280030071	4.50884994384962	3.99422873342964	KLHL17
1.12006683657047	0.939595047259575	-1.55837839397913	PLEKHN1
1.26043949293502	-1.03615740649375	-2.26464719092242	HES4
3.72420743897549	3.25170885231998	2.88616898757219	ISG15
8.22009604854032	7.47436502850178	7.65539218846538	AGRN
1.35295163172456	1.20669911740242	-1.98901274830899	ENSG00000291156
-0.848682229445093	-0.299191812327542	-1.30312133873705	ENSG00000304119
-3.17061032433246	-4.94304800210227	-4.92761220364485	RNF223
3.54363519333367	3.7882710289228	3.73653874834773	C1orf159
-0.620413241771976	-2.13569308004466	-0.629931655004162	TTLL10
-0.423376394712422	-3.35808550138111	-3.7052197823084	TNFRSF18
-2.27752552824897	-2.6211199072149	-3.05314308572871	TNFRSF4
6.09249116955459	6.34831458323981	6.51619471615741	SDF4
3.90620527271838	3.81072587975049	4.86842740518492	B3GALT6
0.763501740011087	-1.67002950769585	-2.42511186311566	C1QTNF12
-4.3930027456689	-2.82757078468233	-3.34264970292369	ENSG00000260179
5.50635417725421	5.59060618652809	5.86544914655948	UBE2J2
0.0881239440677129	0.0719023393637048	-0.535294780866087	LINC01786
2.39272216041716	1.91078134975484	1.43579252721867	SCNN1D
4.65775287394099	4.7121845511565	5.31119057542366	ACAP3
4.43036449437733	4.07283161156388	4.42626975310017	PUSL1
6.52660549293435	6.77219903940893	6.78477149458071	INTS11
-0.848682229445093	0.611540849575371	0.228892282035143	ENSG00000240731
3.47530538762056	3.52319843809134	3.91473813976896	CPTP
-3.6560371515027	-3.72065558076582	-2.60568410875749	TAS1R3
6.17336847290159	5.69629270654997	5.80115864589782	DVL1
-2.27752552824897	-3.72065558076582	-1.65459370923843	ENSG00000304860
4.01497308977575	2.12662552570455	3.56290444512201	MXRA8
6.21216807547474	6.19372955138962	6.14004623027216	AURKAIP1
6.69069817678524	6.47568307991442	6.86856263460255	CCNL2
4.46394145815218	4.73349680637863	4.81329287620942	MRPL20-AS1
5.5971012181886	5.6835736502561	6.13420898747179	MRPL20
0.361884756494565	-0.550730579323506	0.585457378594523	ENSG00000301639
1.9349240898399	1.43199142924466	1.53727384508456	MRPL20-DT
0.431425689747642	-1.39872748587846	-1.08630994966391	ANKRD65
-3.17061032433246	-4.94304800210227	-3.34264970292369	ANKRD65-AS1
2.68381285138193	1.24677655677775	2.18439282186828	TMEM88B
2.19696043611062	1.5752773055886	2.43871001060097	LINC01770
4.63950221890414	4.31826340852648	5.25684993718675	VWA1
0.842213716025128	-0.152971071476498	0.62697664803279	ATAD3C
4.87300290459238	5.06304427121336	4.98975987583199	ATAD3B
-3.6560371515027	-3.35808550138111	-3.34264970292369	ENSG00000290916
5.06984030761753	4.932957259747	5.03190681794479	ATAD3A
1.75674437383578	1.04941832521233	1.10947711509037	TMEM240
7.21324822583123	7.1089539085067	7.31089205591211	SSU72
0.130559210388109	-0.973421651145786	-1.86871851459128	SSU72-AS1
5.03535742703539	4.99799960423832	4.84552700307484	FNDC10
-0.0472279088271735	0.390852734451172	-0.0696312085172751	ENSG00000286989
2.0718833030605	2.42909153873886	1.87544258097913	ENSG00000272106
4.35630803891713	4.34158334041736	4.50492969674341	MIB2
-1.89050240513972	-3.35808550138111	-2.60568410875749	MMP23B
5.60464720487696	5.82430885202342	5.87247878398015	CDK11B
-2.51853362775276	-3.06857888418613	-1.55837839397913	ENSG00000272004
6.38315608834473	6.68706741199941	6.80186692567094	SLC35E2B
-3.17061032433246	-3.72065558076582	-2.81213498622491	ENSG00000310190
1.79682181321111	1.8073798518705	1.73059927910695	ENSG00000310238
-0.0472279088271735	0.611540849575371	0.744813138326648	CDK11A
0.736280271276063	1.64691517967726	1.33917433705005	ENSG00000268575
-3.6560371515027	-4.20608240793606	-3.34264970292369	ENSG00000293188
0.763501740011087	1.58573166322577	1.40031463186396	ENSG00000290854
6.31291757603952	6.46085166996003	6.27960552788881	NADK
-1.73003773294647	-2.13569308004466	-0.535294780866087	ENSG00000302550
8.89552692952515	9.07807656933381	9.11936965919513	GNB1
-2.51853362775276	-2.13569308004466	-3.05314308572871	GNB1-DT
-4.3930027456689	-4.20608240793606	-4.19064660947864	ENSG00000306476
