"","logFC","gene_id","direction"
"ENSG00000279689",-4.09436577265717,"ENSG00000279689","down"
"ASPG",-4.09436577265717,"ASPG","down"
"ENSG00000300328",-4.09436577265717,"ENSG00000300328","down"
"ARHGAP15",-4.06662078217427,"ARHGAP15","down"
"SP8",4.06078154031909,"SP8","up"
"NKAIN2",4.06045233639493,"NKAIN2","up"
"ENSG00000300036",-4.04647108255286,"ENSG00000300036","down"
"ENSG00000289195",-4.02984809661308,"ENSG00000289195","down"
"VSIG1",-4.00947687507066,"VSIG1","down"
"ENSG00000300001",3.99361027013088,"ENSG00000300001","up"
"MCTS2",3.97351669962365,"MCTS2","up"
"CCK",-3.9560376161092,"CCK","down"
"LINC02885",-3.93251489325578,"LINC02885","down"
"BMP3",3.93108143330325,"BMP3","up"
"CHRNA1",-3.91927906609908,"CHRNA1","down"
"ENSG00000279168",-3.91927906609908,"ENSG00000279168","down"
"PRSS3",-3.91927906609908,"PRSS3","down"
"ENSG00000307085",-3.9005425035175,"ENSG00000307085","down"
"OLIG1",3.89138993291009,"OLIG1","up"
"ENSG00000295738",3.88736005587394,"ENSG00000295738","up"
"OAS3",-3.87586726742522,"OAS3","down"
"ENSG00000296134",3.87282270000418,"ENSG00000296134","up"
"PKDCC",-3.87127153322424,"PKDCC","down"
"ZIC1",-3.86568708847329,"ZIC1","down"
"FYB2",-3.85585368595745,"FYB2","down"
"KCNJ2",3.84546397083511,"KCNJ2","up"
"ENSG00000298459",-3.84282700566121,"ENSG00000298459","down"
"KRT16",-3.84282700566121,"KRT16","down"
"ENSG00000273489",-3.83208062419721,"ENSG00000273489","down"
"CRX",-3.82306375083978,"CRX","down"
"PPM1B-DT",-3.82306375083978,"PPM1B-DT","down"
"NPSR1-AS1",-3.82306375083978,"NPSR1-AS1","down"
"CRYBA1",-3.82306375083978,"CRYBA1","down"
"GALR1",3.81452717586249,"GALR1","up"
"DOK7",-3.80877952483353,"DOK7","down"
"HDC",-3.80877952483353,"HDC","down"
"SLC49A3",-3.80042009029569,"SLC49A3","down"
"SGMS2",-3.79535206971781,"SGMS2","down"
"TMT1A",3.7925191311483,"TMT1A","up"
"ACTA1",-3.77421330265966,"ACTA1","down"
"PHETA2",-3.75515968633798,"PHETA2","down"
"ANO9",-3.74939258943189,"ANO9","down"
"ENSG00000301549",3.74763529220732,"ENSG00000301549","up"
"PUS7L",3.74533204679153,"PUS7L","up"
"OLIG3",3.74256727162944,"OLIG3","up"
"TNFRSF19",-3.73922622703605,"TNFRSF19","down"
"S100A6",-3.73299693817191,"S100A6","down"
"ENSG00000222000",3.7279394908664,"ENSG00000222000","up"
"ENSG00000294256",3.7279394908664,"ENSG00000294256","up"
"ENSG00000288967",-3.72776862843608,"ENSG00000288967","down"
"CFAP90",-3.71997025787568,"CFAP90","down"
"CHRND",-3.71997025787567,"CHRND","down"
"ENSG00000299828",-3.71997025787567,"ENSG00000299828","down"
"MYT1L",3.71465796976105,"MYT1L","up"
"NKX6-1",3.69788225701022,"NKX6-1","up"
"ENSG00000251567",3.69788225701022,"ENSG00000251567","up"
"C1orf127",-3.69509558923665,"C1orf127","down"
"SOX15",-3.68033328563833,"SOX15","down"
"C3P1",-3.67342767193864,"C3P1","down"
"COL1A1",-3.66780377379181,"COL1A1","down"
"CITED1",3.66718545978731,"CITED1","up"
"ENSG00000261996",-3.6543819162481,"ENSG00000261996","down"
"HESX1",-3.65252414092034,"HESX1","down"
"FILIP1",-3.64158441919654,"FILIP1","down"
"TBX15",3.6382582743238,"TBX15","up"
"ENSG00000305946",3.63625557396279,"ENSG00000305946","up"
"ENSG00000277969",3.63582128887797,"ENSG00000277969","up"
"FRMPD4",3.62946579383815,"FRMPD4","up"
"SEC14L4",-3.6177898630692,"SEC14L4","down"
"STYXL2",-3.60893894548693,"STYXL2","down"
"IVL",-3.60893894548693,"IVL","down"
"ENSG00000287655",-3.60893894548693,"ENSG00000287655","down"
"WNT1",-3.60893894548693,"WNT1","down"
"DCN",-3.60893894548693,"DCN","down"
"ENSG00000276831",-3.60893894548693,"ENSG00000276831","down"
"PCDHB5",-3.60548958331562,"PCDHB5","down"
"ANKRD19P",3.60376007964567,"ANKRD19P","up"
"ENSG00000289643",-3.6017483345661,"ENSG00000289643","down"
"ENSG00000287229",-3.59840827799476,"ENSG00000287229","down"
"HTR1A",-3.59568792198908,"HTR1A","down"
"ENSG00000299309",-3.58080751020405,"ENSG00000299309","down"
"TMEM132E",3.58004576671636,"TMEM132E","up"
"PCDH7",-3.57824214826401,"PCDH7","down"
"ENSG00000289178",3.57606351271646,"ENSG00000289178","up"
"HHLA1",3.57465049101595,"HHLA1","up"
"FAM50B",-3.57152498384381,"FAM50B","down"
"LCN9",3.570970144528,"LCN9","up"
"ENSG00000288062",3.570970144528,"ENSG00000288062","up"
"APOA1",-3.56994481387107,"APOA1","down"
"ENSG00000282048",-3.56713951888861,"ENSG00000282048","down"
"PDCD1",-3.55950558568243,"PDCD1","down"
"ANO3",-3.55860726993679,"ANO3","down"
"EHHADH",-3.54787088519903,"EHHADH","down"
"PAX6",-3.54052248231486,"PAX6","down"
"ENSG00000308339",3.53741758481698,"ENSG00000308339","up"
"CATSPER4",-3.53355713364479,"CATSPER4","down"
"KRT14",-3.52567166108077,"KRT14","down"
"RNASE1",-3.52405004790042,"RNASE1","down"
"OLIG2",3.5199036211292,"OLIG2","up"
"LINC00534",-3.48864471176922,"LINC00534","down"
"AQP7",-3.48864471176922,"AQP7","down"
"ENSG00000293984",-3.48864471176922,"ENSG00000293984","down"
"LINC02228",3.48808987245341,"LINC02228","up"
"PDLIM3",-3.48682542396081,"PDLIM3","down"
"ENSG00000228528",3.47970208696069,"ENSG00000228528","up"
"VEPH1",-3.47351140824406,"VEPH1","down"
"SNAI2",3.47061421413273,"SNAI2","up"
"OTOF",-3.45126710195519,"OTOF","down"
"MEG3",-3.45020998885357,"MEG3","down"
"LIMCH1",-3.44446033849482,"LIMCH1","down"
"SOX30",-3.43757052717495,"SOX30","down"
"LINC01694",-3.42274093215828,"LINC01694","down"
"CPO",3.41958109452312,"CPO","up"
"LINC01170",3.41958109452312,"LINC01170","up"
"ENSG00000301425",-3.41946114662322,"ENSG00000301425","down"
"CLDN11",3.4170684837788,"CLDN11","up"
"ENSG00000303320",-3.41511567634725,"ENSG00000303320","down"
"CUZD1",-3.41511567634725,"CUZD1","down"
"RPLP0P2",-3.40248806801951,"RPLP0P2","down"
"ENSG00000309085",-3.40248806801951,"ENSG00000309085","down"
"PANTR1",3.39897081484783,"PANTR1","up"
"RAB17",-3.39255387810805,"RAB17","down"
"HPSE2",-3.38761479153797,"HPSE2","down"
"ENSG00000295948",-3.38462164722599,"ENSG00000295948","down"
"PCDHGA10",-3.38309444696952,"PCDHGA10","down"
"ACOXL",-3.37959592460516,"ACOXL","down"
"WNT4",-3.37301813930584,"WNT4","down"
"ENSG00000302784",3.36981810973078,"ENSG00000302784","up"
"GDF3",3.36914610222718,"GDF3","up"
"FAR2P2",3.36693415679874,"FAR2P2","up"
"ENSG00000305720",-3.35740017849097,"ENSG00000305720","down"
"MYO3B",-3.35740017849097,"MYO3B","down"
"RAB17-DT",-3.35740017849097,"RAB17-DT","down"
"APOA5",-3.35740017849097,"APOA5","down"
"ENSG00000298123",-3.35740017849097,"ENSG00000298123","down"
"GSG1",-3.35740017849097,"GSG1","down"
"ENSG00000226530",-3.35740017849097,"ENSG00000226530","down"
"ENSG00000270060",3.35684533917516,"ENSG00000270060","up"
"ENSG00000267364",-3.33554074452723,"ENSG00000267364","down"
"ANKRD34B",-3.33194019350001,"ANKRD34B","down"
"CALCR",-3.31943232829195,"CALCR","down"
"CSMD1",-3.31943232829195,"CSMD1","down"
"SP9",3.31785120755929,"SP9","up"
"ARID5B",3.31425346245069,"ARID5B","up"
"ENSG00000290846",-3.2972791860534,"ENSG00000290846","down"
"MAGEB17-AS1",-3.2972791860534,"MAGEB17-AS1","down"
"ENSG00000304417",-3.2972791860534,"ENSG00000304417","down"
"PLEKHB1",-3.29199269370716,"PLEKHB1","down"
"SNORD117",3.29125699754758,"SNORD117","up"
"ENSG00000289045",3.29125699754758,"ENSG00000289045","up"
"CYP2B6",3.28805811588026,"CYP2B6","up"
"LINC00370",-3.28043819667608,"LINC00370","down"
"LINC-ROR",3.27777376818396,"LINC-ROR","up"
"ENSG00000291036",-3.27251128090445,"ENSG00000291036","down"
"SERPINB3",-3.27251128090445,"SERPINB3","down"
"TRPM2",-3.27251128090445,"TRPM2","down"
"LINC01050",3.27195644158864,"LINC01050","up"
"UPK3B",-3.26790202765187,"UPK3B","down"
"ENSG00000270124",-3.26276330435289,"ENSG00000270124","down"
"FGF22",-3.26276330435289,"FGF22","down"
"IP6K3",-3.26118486323166,"IP6K3","down"
"JAKMIP2",3.25792414495811,"JAKMIP2","up"
"ENSG00000290043",-3.25294901452594,"ENSG00000290043","down"
"ENSG00000268555",-3.24036075730075,"ENSG00000268555","down"
"ENSG00000279561",3.23655110545744,"ENSG00000279561","up"
"ENSG00000287677",-3.23454343070543,"ENSG00000287677","down"
"KRT80",-3.23454343070543,"KRT80","down"
"HCG9",3.22254424746356,"HCG9","up"
"EQTN",3.22254424746356,"EQTN","up"
"HNRNPK-AS1",3.22254424746356,"HNRNPK-AS1","up"
"ENSG00000286739",-3.21301026915579,"ENSG00000286739","down"
"ENSG00000310015",-3.21301026915579,"ENSG00000310015","down"
"ENSG00000303476",-3.21301026915579,"ENSG00000303476","down"
"ENSG00000286670",-3.21301026915579,"ENSG00000286670","down"
"LINC00437",-3.21301026915579,"LINC00437","down"
"ENSG00000280351",-3.21301026915579,"ENSG00000280351","down"
"ENSG00000303681",-3.21301026915579,"ENSG00000303681","down"
"LURAP1L",3.21245542983998,"LURAP1L","up"
"ENSG00000298502",3.21245542983998,"ENSG00000298502","up"
"SLFN12",-3.20171709962443,"SLFN12","down"
"CLDN4",-3.20080981555027,"CLDN4","down"
"NFIA",3.19937955445948,"NFIA","up"
"CNTFR",3.19563947760568,"CNTFR","up"
"RHOXF1-AS1",3.19272595941405,"RHOXF1-AS1","up"
"KLHDC7A",-3.18700669351121,"KLHDC7A","down"
"ENSG00000293915",-3.18231347193288,"ENSG00000293915","down"
"MKRN2OS",-3.18231347193288,"MKRN2OS","down"
"LINC02671",-3.18231347193288,"LINC02671","down"
"ENSG00000269883",3.18175863261706,"ENSG00000269883","up"
"ENSG00000309829",3.17979656705904,"ENSG00000309829","up"
"AJUBA",-3.17927612405781,"AJUBA","down"
"ENSG00000289168",3.17564226928153,"ENSG00000289168","up"
"CCN1",-3.17563716317197,"CCN1","down"
"EDN1",-3.17248246257318,"EDN1","down"
"ENSG00000299647",3.16956677098258,"ENSG00000299647","up"
"DYNAP",-3.16603465277514,"DYNAP","down"
"MX2",-3.16240819440643,"MX2","down"
"NOXO1",-3.16147996851571,"NOXO1","down"
"NPAS3",3.15710468329728,"NPAS3","up"
"MYL3",-3.15670282825384,"MYL3","down"
"UNC45B",-3.15670282825384,"UNC45B","down"
"ENSG00000299166",-3.15338628646937,"ENSG00000299166","down"
"ENSG00000300906",3.15039446170773,"ENSG00000300906","up"
"LINC03073",3.15039446170773,"LINC03073","up"
"ENSG00000302532",3.15039446170773,"ENSG00000302532","up"
"ENSG00000289070",3.15039446170773,"ENSG00000289070","up"
"DRD2",-3.14760779393415,"DRD2","down"
"NODAL",3.14172091830275,"NODAL","up"
"BAHCC1",3.12950789523759,"BAHCC1","up"
"LINC02570",-3.12643847842935,"LINC02570","down"
"FOXP2",3.1255197930687,"FOXP2","up"
"DGKB",3.12198160603252,"DGKB","up"
"IRS4",-3.12006119347982,"IRS4","down"
"ZNF649",-3.11881189679851,"ZNF649","down"
"SLA2",-3.11298145082452,"SLA2","down"
"DPYS",-3.10804070955425,"DPYS","down"
"ENSG00000309512",3.1074229309207,"ENSG00000309512","up"
"ENSG00000299000",3.10530657217919,"ENSG00000299000","up"
"ENSG00000306915",3.10113863966911,"ENSG00000306915","up"
"ENSG00000289193",-3.10024233899384,"ENSG00000289193","down"
"SCN3A",3.09824317965662,"SCN3A","up"
"LINC01356",-3.0963163687069,"LINC01356","down"
"CRYZ",3.09157741187652,"CRYZ","up"
"REG1A",3.08855520788987,"REG1A","up"
"GJB4",-3.08609815667357,"GJB4","down"
"ENSG00000270149",-3.08609815667357,"ENSG00000270149","down"
"SCG2",-3.08609815667357,"SCG2","down"
"ENSG00000250781",-3.08609815667357,"ENSG00000250781","down"
"ENSG00000286375",-3.08609815667357,"ENSG00000286375","down"
"LINC02641",-3.08609815667357,"LINC02641","down"
"C19orf18",-3.08609815667357,"C19orf18","down"
"HCG27",3.08554331735776,"HCG27","up"
"CASP14",3.08554331735776,"CASP14","up"
"NPIPA2",-3.07842422878815,"NPIPA2","down"
"ENSG00000297488",3.07444560847443,"ENSG00000297488","up"
