"","logFC","gene_id","direction"
"SPDYC",-4.73100667077945,"SPDYC","down"
"LGALS7B",-4.73100667077945,"LGALS7B","down"
"NKAIN2",4.72949798252308,"NKAIN2","up"
"ANXA3",-4.72657539687605,"ANXA3","down"
"SNRK-AS1",4.72591809224728,"SNRK-AS1","up"
"SCNN1G",-4.71860964462998,"SCNN1G","down"
"CDSN",-4.71593922269051,"CDSN","down"
"FOLR1",-4.71341261076471,"FOLR1","down"
"ENSG00000307951",4.70909346960592,"ENSG00000307951","up"
"HSH2D",-4.69835588448913,"HSH2D","down"
"CCN1",-4.69706957723466,"CCN1","down"
"LINC01013",-4.69465777997702,"LINC01013","down"
"UPK3B",-4.69303882058043,"UPK3B","down"
"ENSG00000305907",-4.69303882058043,"ENSG00000305907","down"
"EGR3",-4.68841479405498,"EGR3","down"
"CCDC125",-4.68532385545242,"CCDC125","down"
"TRPM8",-4.67756741181799,"TRPM8","down"
"DPYS",-4.67756741181799,"DPYS","down"
"OAS3",-4.67756741181799,"OAS3","down"
"TGFBR3L",-4.67756741181799,"TGFBR3L","down"
"CLDN7",-4.65681356681084,"CLDN7","down"
"STK31",4.64861236607983,"STK31","up"
"DGKB",4.64375731735303,"DGKB","up"
"PKP3",-4.63506963975516,"PKP3","down"
"ENSG00000307085",-4.62207229922628,"ENSG00000307085","down"
"KASH5",-4.62207229922628,"KASH5","down"
"WNT8B",-4.62207229922628,"WNT8B","down"
"ENSG00000282048",-4.62033043962333,"ENSG00000282048","down"
"SLC44A4",-4.61174885595752,"SLC44A4","down"
"ZNF280D",4.59796738469406,"ZNF280D","up"
"EDN1",-4.59761925550174,"EDN1","down"
"MIR9-3HG",-4.59761925550174,"MIR9-3HG","down"
"TAC4",-4.56435680137,"TAC4","down"
"GAD1",-4.54992251347045,"GAD1","down"
"HMX1",4.53863952405469,"HMX1","up"
"OXCT2",-4.51646211126568,"OXCT2","down"
"NKX3-2",4.50978466138251,"NKX3-2","up"
"CATIP",-4.50423580893243,"CATIP","down"
"MAGEB17-AS1",-4.50423580893243,"MAGEB17-AS1","down"
"DHRS3",-4.49730184525281,"DHRS3","down"
"LINC02593",-4.47946790378348,"LINC02593","down"
"VSIG1",-4.47946790378348,"VSIG1","down"
"VEPH1",-4.47744093465358,"VEPH1","down"
"BRINP3",4.46037246725743,"BRINP3","up"
"GARIN1B",-4.46034148795928,"GARIN1B","down"
"ENSG00000290700",-4.4588821318127,"ENSG00000290700","down"
"TMT1A",4.4440929229914,"TMT1A","up"
"ENSG00000257002",-4.44150005358446,"ENSG00000257002","down"
"NPIPA5",-4.44150005358446,"NPIPA5","down"
"NPIPA2",-4.44150005358446,"NPIPA2","down"
"ATP2C2",-4.43435798434044,"ATP2C2","down"
"DLK1",-4.42506947692321,"DLK1","down"
"MATCAP2",-4.41996689203482,"MATCAP2","down"
"ENSG00000301478",4.41958685241093,"ENSG00000301478","up"
"CACNA2D4",-4.4025059219686,"CACNA2D4","down"
"ENSG00000305946",-4.4025059219686,"ENSG00000305946","down"
"LINC02885",-4.4025059219686,"LINC02885","down"
"AMER2",4.40085028982935,"AMER2","up"
"LRP2",-4.40010842238753,"LRP2","down"
"NEBL",-4.3815675825053,"NEBL","down"
"IRS4-AS1",-4.37943908545221,"IRS4-AS1","down"
"SOX15",-4.37859330202427,"SOX15","down"
"GRPR",-4.37641052604808,"GRPR","down"
"ENSG00000288822",-4.37591171195689,"ENSG00000288822","down"
"ENSG00000285712",-4.37591171195689,"ENSG00000285712","down"
"ENSG00000309412",-4.37591171195689,"ENSG00000309412","down"
"TBX1",4.36263096759886,"TBX1","up"
"ENSG00000237087",-4.35829975316616,"ENSG00000237087","down"
"CYP26A1",-4.35763343773489,"CYP26A1","down"
"ENSG00000267127",4.3561614722693,"ENSG00000267127","up"
"SLC17A9",-4.33931965877798,"SLC17A9","down"
"RFX4",4.3375157194719,"RFX4","up"
"TRDN",-4.3325656820313,"TRDN","down"
"MT1G",-4.3325656820313,"MT1G","down"
"ISLR2",4.30723384046695,"ISLR2","up"
"GRIN1",-4.29711014424929,"GRIN1","down"
"PKLR",-4.29181827204953,"PKLR","down"
"VWF",-4.28325507273509,"VWF","down"
"DOK7",-4.27877055354635,"DOK7","down"
"LCN2",-4.27877055354635,"LCN2","down"
"ENSG00000304385",-4.27877055354635,"ENSG00000304385","down"
"LINC02984",4.27670347765034,"LINC02984","up"
"CCDC144NL",-4.25822549848313,"CCDC144NL","down"
"GNLY",4.25546747264982,"GNLY","up"
"IRAK4",4.25546747264982,"IRAK4","up"
"MCTS2",4.24035563519624,"MCTS2","up"
"PRDM12",-4.23504917611704,"PRDM12","down"
"ENSG00000290088",-4.23504917611704,"ENSG00000290088","down"
"LMO1",-4.23504917611704,"LMO1","down"
"ENSG00000309085",-4.23504917611704,"ENSG00000309085","down"
"PRSS22",-4.23504917611704,"PRSS22","down"
"ACTA1",-4.22444107655106,"ACTA1","down"
"GAB4",4.22027804418753,"GAB4","up"
"SCGB3A2",-4.21117777249819,"SCGB3A2","down"
"A2M",-4.20514769040317,"A2M","down"
"GREB1L",-4.20269276114595,"GREB1L","down"
"IRS4",-4.18747160820237,"IRS4","down"
"ENSG00000296499",-4.18486341894882,"ENSG00000296499","down"
"FAR2P2",4.17843029694478,"FAR2P2","up"
"DENND2D",-4.15910032288374,"DENND2D","down"
"ENSG00000203635",-4.15910032288374,"ENSG00000203635","down"
"LGALS7",-4.15910032288374,"LGALS7","down"
"SYDE2",-4.14883655320229,"SYDE2","down"
"LINC02325",4.1472145819978,"LINC02325","up"
"AJUBA",-4.14323985600613,"AJUBA","down"
"LINC01405",-4.1422206976423,"LINC01405","down"
"RGS5",-4.13693557763532,"RGS5","down"
"ENSG00000289915",-4.13664547205604,"ENSG00000289915","down"
"TMEM114",-4.13516881374812,"TMEM114","down"
"BNC1",-4.13286878131056,"BNC1","down"
"ENSG00000294005",-4.12879048872648,"ENSG00000294005","down"
"ALDH1A2",-4.12879048872648,"ALDH1A2","down"
"LHX4",-4.12437294496092,"LHX4","down"
"AHNAK",-4.11791109751766,"AHNAK","down"
"PDLIM3",-4.10959414750152,"PDLIM3","down"
"ENSG00000225096",4.10924673179878,"ENSG00000225096","up"
"ENSG00000267364",-4.1086008408761,"ENSG00000267364","down"
"DSG1",-4.10229396726526,"DSG1","down"
"ENSG00000243081",-4.10183037630983,"ENSG00000243081","down"
"ALPK2",-4.1004631357494,"ALPK2","down"
"CIMAP1B",-4.09532441245042,"CIMAP1B","down"
"GALR1",4.08597695247593,"GALR1","up"
"ENSG00000303463",-4.07892997419975,"ENSG00000303463","down"
"ASPG",-4.07892997419975,"ASPG","down"
"DLL4",-4.07892997419975,"DLL4","down"
"ENSG00000300328",-4.07892997419975,"ENSG00000300328","down"
"PAX8",4.07588813485235,"PAX8","up"
"ECEL1P2",-4.07421142529723,"ECEL1P2","down"
"PCDHGA9",4.06608596900981,"PCDHGA9","up"
"OVOL2",-4.06386252611081,"OVOL2","down"
"ARID5B",4.0249935927511,"ARID5B","up"
"LINC02570",-4.01880898176218,"LINC02570","down"
"BCYRN1",-4.0098515914607,"BCYRN1","down"
"ENSG00000296134",4.00576894927817,"ENSG00000296134","up"
"HESX1",-3.99803009770085,"HESX1","down"
"INHBE",-3.99802001282665,"INHBE","down"
"PSORS1C2",-3.99404107661324,"PSORS1C2","down"
"ENSG00000291036",-3.99404107661324,"ENSG00000291036","down"
"MAPK6-DT",-3.99404107661324,"MAPK6-DT","down"
"SERPINB3",-3.99404107661324,"SERPINB3","down"
"SHOX",-3.99404107661324,"SHOX","down"
"LINC02228",3.98895249808107,"LINC02228","up"
"FGF10",3.98895249808107,"FGF10","up"
"ECHDC2",-3.98455742674635,"ECHDC2","down"
"VSNL1",-3.9809388116163,"VSNL1","down"
"SERPINB9",-3.97273881167872,"SERPINB9","down"
"COL1A1",-3.96620181481929,"COL1A1","down"
"PCOLCE-AS1",-3.96330340173637,"PCOLCE-AS1","down"
"ADCY10",3.94651723176067,"ADCY10","up"
"MGAT4C",3.94440758749793,"MGAT4C","up"
"CCK",-3.94060181765178,"CCK","down"
"ENSG00000296660",-3.94060181765178,"ENSG00000296660","down"
"ENSG00000294129",-3.94060181765178,"ENSG00000294129","down"
"AP1M2",-3.93158825812457,"AP1M2","down"
"KLHDC7A",-3.92809875559851,"KLHDC7A","down"
"RHBDL2",-3.90384326764166,"RHBDL2","down"
"ENSG00000293915",-3.90384326764166,"ENSG00000293915","down"
"MKRN2OS",-3.90384326764166,"MKRN2OS","down"
"ZNF454",-3.90384326764166,"ZNF454","down"
"ENSG00000288597",-3.89378459613207,"ENSG00000288597","down"
"ERG",3.8884866263531,"ERG","up"
"CUZD1",-3.88510670506008,"CUZD1","down"
"NPHS1",-3.88177484436233,"NPHS1","down"
"LDHA",-3.86794584128361,"LDHA","down"
"GREM1",-3.86279654333499,"GREM1","down"
"ZIC1",-3.85025129001588,"ZIC1","down"
"ENSG00000233577",-3.84965116727807,"ENSG00000233577","down"
"ENSG00000297060",-3.84802605300779,"ENSG00000297060","down"
"ENSG00000224789",-3.84041788750003,"ENSG00000224789","down"
"VLDLR-AS1",-3.83759598920985,"VLDLR-AS1","down"
"ZNF506",-3.83509330112424,"ZNF506","down"
"EGR1",-3.83028431320184,"EGR1","down"
"ENSG00000298459",-3.82739120720379,"ENSG00000298459","down"
"PCDHA10",-3.82739120720379,"PCDHA10","down"
"GBX2",3.82717880768666,"GBX2","up"
"PTPRB",3.81317680483244,"PTPRB","up"
"ENPP6",-3.80762795238236,"ENPP6","down"
"SLCO1B1",-3.80762795238236,"SLCO1B1","down"
"PRSS33",-3.80762795238236,"PRSS33","down"
"MEF2B",-3.80762795238236,"MEF2B","down"
"C19orf18",-3.80762795238236,"C19orf18","down"
"TMEM191B",-3.80762795238236,"TMEM191B","down"
"ENSG00000280511",-3.80276629642233,"ENSG00000280511","down"
"ENSG00000222000",3.80167392988849,"ENSG00000222000","up"
"ABCB1",3.80061545952488,"ABCB1","up"
"CALHM2",-3.79587477095668,"CALHM2","down"
"DRC1",-3.78942335700477,"DRC1","down"
"NTN1",-3.78608080774061,"NTN1","down"
"BICDL2",-3.78129165840229,"BICDL2","down"
"SGMS2",-3.77991627126039,"SGMS2","down"
"ARHGAP10",-3.76819309664057,"ARHGAP10","down"
"ENSG00000287238",-3.76727021476622,"ENSG00000287238","down"
"SLC22A2",-3.76727021476622,"SLC22A2","down"
"AGMO",-3.76727021476622,"AGMO","down"
"BIN2",-3.76727021476622,"BIN2","down"
"ENSG00000309145",3.75606770292698,"ENSG00000309145","up"
"GAD2",3.75325680083779,"GAD2","up"
"ZNF385B",-3.75231018398767,"ZNF385B","down"
"PUS7L",3.75035749310781,"PUS7L","up"
"ENSG00000274373",-3.74962234894679,"ENSG00000274373","down"
"PHETA2",-3.73972388788056,"PHETA2","down"
"LINC02898",-3.73338932209044,"LINC02898","down"
"TAGLN",-3.72060922227633,"TAGLN","down"
"SLC51A",-3.71730175549213,"SLC51A","down"
"ID4",-3.71030986761509,"ID4","down"
"TAC1",-3.70945833805754,"TAC1","down"
"LY6S",-3.70453445941826,"LY6S","down"
"ENSG00000241168",-3.70453445941826,"ENSG00000241168","down"
"RSPO3",-3.70453445941826,"RSPO3","down"
"TBXT",-3.70453445941826,"TBXT","down"
"ENSG00000305760",-3.70453445941826,"ENSG00000305760","down"
"MYL11",-3.70453445941826,"MYL11","down"
"GRIN3B",-3.70453445941826,"GRIN3B","down"
"SOX18",-3.70453445941826,"SOX18","down"
"MFSD2B",-3.67509068152577,"MFSD2B","down"
"KCNH5",3.67457863321245,"KCNH5","up"
"GALNT3",-3.67105489950692,"GALNT3","down"
"ENSG00000300036",-3.66846520471073,"ENSG00000300036","down"
"HTR1A",-3.66514102111817,"HTR1A","down"
"ENSG00000284612",3.66178775482756,"ENSG00000284612","up"
"S100A6",-3.65984564185821,"S100A6","down"
"GPR78",-3.65799187348123,"GPR78","down"
"PCDHGA10",-3.64711860225901,"PCDHGA10","down"
"CCL26",-3.64681896156197,"CCL26","down"
"KRT16",-3.64681896156197,"KRT16","down"
"ENSG00000301425",-3.64503344766959,"ENSG00000301425","down"
"BSPRY",-3.64048787058597,"BSPRY","down"
"ENSG00000293723",-3.63894611779068,"ENSG00000293723","down"
"KCNT1",-3.63894611779068,"KCNT1","down"
"RASAL3",-3.63541009876344,"RASAL3","down"
"ACVRL1",-3.63309932137531,"ACVRL1","down"
"MB",-3.63309932137531,"MB","down"
"POU2F3",-3.63015226309568,"POU2F3","down"
"WNT4",-3.62888436266581,"WNT4","down"
"ENSG00000299466",3.61022456250354,"ENSG00000299466","up"
"ART3",-3.60989758528018,"ART3","down"
"RHD",3.6083484958661,"RHD","up"
"ENSG00000306409",3.6083484958661,"ENSG00000306409","up"
"LINC01050",3.60055012530569,"LINC01050","up"
"ENSG00000305736",-3.59350314702951,"ENSG00000305736","down"
"ENSG00000298225",-3.59350314702951,"ENSG00000298225","down"
"ENSG00000295980",-3.59350314702951,"ENSG00000295980","down"
"CALCR",-3.59350314702951,"CALCR","down"
"ENSG00000286458",-3.59350314702951,"ENSG00000286458","down"
"CSMD1",-3.59350314702951,"CSMD1","down"
"MUC5B",-3.59350314702951,"MUC5B","down"
"WNT1",-3.59350314702951,"WNT1","down"
"LINC02320",-3.59350314702951,"LINC02320","down"
"KLK11",-3.59350314702951,"KLK11","down"
"RBBP8NL",-3.59350314702951,"RBBP8NL","down"
"ENSG00000290092",-3.59220575931538,"ENSG00000290092","down"
"ZDHHC22",3.59168351636321,"ZDHHC22","up"
"PIK3R6",-3.5866979691244,"PIK3R6","down"
"IRX5",-3.58603769678295,"IRX5","down"
"PCDHA11",3.57689885724105,"PCDHA11","up"
"MEG3",-3.575636726236,"MEG3","down"
"NELL1",3.57530823410209,"NELL1","up"
"CHAC1",-3.57103940693956,"CHAC1","down"
"CNGA1",-3.57023336770667,"CNGA1","down"
"ENSG00000289193",-3.57023336770667,"ENSG00000289193","down"
"ENSG00000294960",-3.57023336770667,"ENSG00000294960","down"
"ENSG00000259223",-3.56833007581994,"ENSG00000259223","down"
"FAM178B",-3.5628063498066,"FAM178B","down"
"SGCG",-3.56014455008308,"SGCG","down"
"ENSG00000268649",-3.56014455008308,"ENSG00000268649","down"
"TNFRSF19",-3.55909394193813,"TNFRSF19","down"
"ENSG00000299953",-3.55450901541365,"ENSG00000299953","down"
"APOA1",-3.55450901541365,"APOA1","down"
"RN7SL3",-3.55450901541365,"RN7SL3","down"
"ENSG00000260398",3.5528533832744,"ENSG00000260398","up"
"ENSG00000226530",-3.54841525750097,"ENSG00000226530","down"
"FGF8",-3.54242896243524,"FGF8","down"
"GDF3",3.54191198165907,"GDF3","up"
"GUCY1B2",3.53734038390307,"GUCY1B2","up"
"EHHADH",-3.53243508674161,"EHHADH","down"
"SORCS3",3.53071955241284,"SORCS3","up"
"MYOF",-3.52992993703607,"MYOF","down"
"HES4",-3.52508668385744,"HES4","down"
"TMEM54",-3.5241388414751,"TMEM54","down"
"DNAH17",-3.52253662567537,"DNAH17","down"
"OLIG1",3.5216587616708,"OLIG1","up"
"ENSG00000297733",-3.51443157603831,"ENSG00000297733","down"
"LINC02043",-3.51443157603831,"LINC02043","down"
"JDP2-AS1",-3.51443157603831,"JDP2-AS1","down"
"FBXO32",-3.508614249443,"FBXO32","down"
"COBL",-3.50662192039737,"COBL","down"
"C7orf57",-3.49808358195083,"C7orf57","down"
"ENSG00000253730",-3.49808358195083,"ENSG00000253730","down"
"ENSG00000270060",3.49513788541811,"ENSG00000270060","up"
"MCOLN3",-3.48956849375245,"MCOLN3","down"
"ENSG00000228835",3.48331245002132,"ENSG00000228835","up"
"NRGN",3.47682112280046,"NRGN","up"
"KLC3",-3.47557398767899,"KLC3","down"
"ENSG00000233264",-3.4732089133118,"ENSG00000233264","down"
"PAX4",-3.4732089133118,"PAX4","down"
"ENSG00000293984",-3.4732089133118,"ENSG00000293984","down"
"ENSG00000287530",-3.4732089133118,"ENSG00000287530","down"
"ENSG00000286037",-3.4732089133118,"ENSG00000286037","down"
"TP53TG5",-3.4732089133118,"TP53TG5","down"
"ENSG00000224413",-3.4732089133118,"ENSG00000224413","down"
"ALMS1-IT1",-3.46581046099064,"ALMS1-IT1","down"
"CREB5",-3.46482112781908,"CREB5","down"
"ASS1P7",-3.45958241256792,"ASS1P7","down"
"RASSF9",-3.45517499048154,"RASSF9","down"
"NUPR1",-3.45021727068557,"NUPR1","down"
"GJC3",-3.44789782478261,"GJC3","down"
"DLX3",-3.44789782478261,"DLX3","down"
"ENSG00000289399",3.44743592083135,"ENSG00000289399","up"
"KCNJ5-AS1",-3.43691278408881,"KCNJ5-AS1","down"
"TNR",3.43501689298054,"TNR","up"
"DCUN1D2-AS",3.43501689298054,"DCUN1D2-AS","up"
"ENSG00000230105",3.43501689298054,"ENSG00000230105","up"
"SERTM1",3.43255914955668,"SERTM1","up"
"ENSG00000279692",-3.4307736469914,"ENSG00000279692","down"
"CDH17",-3.42213472871753,"CDH17","down"
"IL17C",-3.42213472871753,"IL17C","down"
"CYTOR",-3.41841644047142,"CYTOR","down"
"LINC00222",-3.39967987788984,"LINC00222","down"
"ENSG00000303320",-3.39967987788984,"ENSG00000303320","down"
"LRP4-AS1",-3.39967987788984,"LRP4-AS1","down"
"ENSG00000298336",3.3995026063676,"ENSG00000298336","up"
"KRTDAP",-3.39590318714435,"KRTDAP","down"
"SLC7A5",-3.39459260622883,"SLC7A5","down"
"ENSG00000303363",-3.38966112206484,"ENSG00000303363","down"
"RPLP0P2",-3.38705226956209,"RPLP0P2","down"
"GFY",-3.38585202403455,"GFY","down"
"ASTL",-3.37332855094288,"ASTL","down"
"ENSG00000245651",-3.37332855094288,"ENSG00000245651","down"
"ENSG00000295046",3.37228113763257,"ENSG00000295046","up"
"SP5",-3.36532837309906,"SP5","down"
"GJA3",-3.3640750816393,"GJA3","down"
"BASP1-AS1",-3.35835881828422,"BASP1-AS1","down"
"PLAAT3",-3.35832364711358,"PLAAT3","down"
"ENSG00000228592",3.35565759825016,"ENSG00000228592","up"
"SNX10-AS1",3.34453614714967,"SNX10-AS1","up"
"TBX5",3.34453614714967,"TBX5","up"
"ENSG00000285873",-3.34196438003355,"ENSG00000285873","down"
"COLEC11",-3.34196438003355,"COLEC11","down"
"ENSG00000288932",-3.34196438003355,"ENSG00000288932","down"
"RAB17-DT",-3.34196438003355,"RAB17-DT","down"
"ASS1P9",-3.34196438003355,"ASS1P9","down"
"ENSG00000295484",-3.34196438003355,"ENSG00000295484","down"
"ENSG00000287097",-3.34196438003355,"ENSG00000287097","down"
"ENSG00000290064",-3.34196438003355,"ENSG00000290064","down"
"CHILL1",-3.34196438003355,"CHILL1","down"
"SVIL-AS1",-3.34196438003355,"SVIL-AS1","down"
"CALHM3",-3.34196438003355,"CALHM3","down"
"KCNJ5",-3.34196438003355,"KCNJ5","down"
"SCEL",-3.34196438003355,"SCEL","down"
"ENSG00000286813",-3.34196438003355,"ENSG00000286813","down"
"TBC1D3P1-DHX40P1",-3.34196438003355,"TBC1D3P1-DHX40P1","down"
"ENSG00000289543",-3.34196438003355,"ENSG00000289543","down"
"LINC02965",-3.34196438003355,"LINC02965","down"
"ENSG00000276223",-3.34196438003355,"ENSG00000276223","down"
"ENSG00000280441",-3.34196438003355,"ENSG00000280441","down"
"ENSG00000287146",-3.34196438003355,"ENSG00000287146","down"
"CCDC192",-3.34196438003355,"CCDC192","down"
"PAX2",-3.34196438003355,"PAX2","down"
"ARHGAP40",-3.34196438003355,"ARHGAP40","down"
"ENSG00000288871",-3.34196438003355,"ENSG00000288871","down"
"ENSG00000291156",-3.34196438003355,"ENSG00000291156","down"
"ENSG00000270571",-3.34196438003355,"ENSG00000270571","down"
"ENSG00000270277",-3.34196438003355,"ENSG00000270277","down"
"ENSG00000254297",-3.34196438003355,"ENSG00000254297","down"
"ENSG00000295842",-3.34196438003355,"ENSG00000295842","down"
"ENSG00000257474",-3.34196438003355,"ENSG00000257474","down"
