"","logFC","gene_id","direction"
"ENSG00000305893",-3.65543966273654,"ENSG00000305893","down"
"ANKRD19P",3.65294271045137,"ANKRD19P","up"
"ENSG00000309982",3.64855494842901,"ENSG00000309982","up"
"ENSG00000280351",-3.63992666336521,"ENSG00000280351","down"
"ENSG00000279692",3.63481816251546,"ENSG00000279692","up"
"LCN9",3.62015277533371,"LCN9","up"
"LINC02211",3.60905506645037,"LINC02211","up"
"TBXT",3.60905506645037,"TBXT","up"
"LGALS12",3.60905506645037,"LGALS12","up"
"ENSG00000298497",3.60905506645037,"ENSG00000298497","up"
"SCNN1B",3.59700743868584,"SCNN1B","up"
"ENSG00000256969",3.58660021562268,"ENSG00000256969","up"
"LINC02666",-3.55975631468123,"LINC02666","down"
"MECOM",3.55610618650142,"MECOM","up"
"MROH5",3.54527915601706,"MROH5","up"
"ENSG00000304385",3.54527915601706,"ENSG00000304385","up"
"ENSG00000289168",3.53246460804219,"ENSG00000289168","up"
"ENSG00000248268",3.52888471776639,"ENSG00000248268","up"
"ENSG00000289166",3.52888471776639,"ENSG00000289166","up"
"ENSG00000255931",3.52888471776639,"ENSG00000255931","up"
"ENSG00000290660",3.52888471776639,"ENSG00000290660","up"
"ENSG00000287146",3.52888471776639,"ENSG00000287146","up"
"XACT",3.52608744099884,"XACT","up"
"WWTR1",3.5033701533311,"WWTR1","up"
"LINC02593",3.49552612081996,"LINC02593","up"
"NPNT",3.48379682823785,"NPNT","up"
"ENSG00000303551",-3.47486741709472,"ENSG00000303551","down"
"RSPH10B",-3.47486741709472,"RSPH10B","down"
"SLC7A5",3.45630252901894,"SLC7A5","up"
"MBNL1-AS1",-3.44542363920223,"MBNL1-AS1","down"
"ENSG00000303463",3.44399582017988,"ENSG00000303463","up"
"ENSG00000307179",3.44399582017988,"ENSG00000307179","up"
"ENSG00000226334",3.44399582017988,"ENSG00000226334","up"
"ENSG00000307584",3.44399582017988,"ENSG00000307584","up"
"ENSG00000293337",3.44399582017988,"ENSG00000293337","up"
"TGFBR3L",3.44399582017988,"TGFBR3L","up"
"ENSG00000288815",3.44399582017988,"ENSG00000288815","up"
"ENSG00000307878",3.44399582017988,"ENSG00000307878","up"
"TMEM191B",3.44399582017988,"TMEM191B","up"
"ENSG00000302290",3.44399582017988,"ENSG00000302290","up"
"RHD",-3.42142815813326,"RHD","down"
"LINC02795",-3.42142815813326,"LINC02795","down"
"ENSG00000273058",-3.42142815813326,"ENSG00000273058","down"
"GATA5",3.41995034621323,"GATA5","up"
"ENSG00000303363",3.40753588236364,"ENSG00000303363","up"
"SP5",3.40602796998086,"SP5","up"
"IADEN",3.39055656121842,"IADEN","up"
"ENSG00000303136",-3.38466960812314,"ENSG00000303136","down"
