""	logFC	AveExpr	t	P.Value	adj.P.Val	B
CCDC127	-4.73486015355522	4.35271790899908	-19.796992554819	1.03809466599806e-06	5.65542022139021e-06	6.38550720626154
BRD1	-5.24545684963556	5.32388928969252	-19.7916356386539	1.03976543549071e-06	5.66328747335949e-06	6.48020927309806
CRLF3	-5.09605788779099	5.07303334029705	-19.7876675052102	1.04100507519461e-06	5.66880357425069e-06	6.46017117172951
DCP1A	-5.04789361649827	4.89277492773969	-19.7864095426211	1.0413984200815e-06	5.669709768428e-06	6.44394950786782
CBY1	-4.9660611261916	4.73231289802949	-19.7841737364841	1.04209794808925e-06	5.67188476625812e-06	6.42745958133127
MRPS10	-6.18719641507177	5.99666729378467	-19.7836817246567	1.04225195972987e-06	5.67188476625812e-06	6.51547911793961
SGO2	-6.09576851372593	6.17792484726328	-19.7818449018041	1.04282716395254e-06	5.67377915160937e-06	6.52251896074665
GINS3	-4.48185230825946	4.529378785755	-19.7804631603539	1.0432601021536e-06	5.67417953541189e-06	6.40383308051982
HEIH	-4.87181804224371	3.86166575828985	-19.7801604470745	1.0433549786136e-06	5.67417953541189e-06	6.3061085070593
HABP4	-4.63937612529903	4.24897025935783	-19.7769415895867	1.04436445495268e-06	5.67837532798761e-06	6.36624871043011
TMEM258	-7.43154826461892	6.15723607389954	-19.7762514106686	1.04458105217063e-06	5.67837532798761e-06	6.52018978921561
SNRPGP2	-5.4871149174496	4.76307068320171	-19.766971017938	1.04749857964381e-06	5.69299641370914e-06	6.426242687344
NBPF3	-4.46716578033819	4.68280408872002	-19.7551091167981	1.051241488622e-06	5.71209598776253e-06	6.41489506054253
GDE1	-6.41861391723021	6.32504115889669	-19.7530566264095	1.05189071075278e-06	5.71364026336799e-06	6.52020544267608
PIK3R4	-5.41676030905316	5.98922844696728	-19.7527647319413	1.05198307762939e-06	5.71364026336799e-06	6.50680024889935
ZNF33A	-6.1963857272134	5.72620540954556	-19.7500701623537	1.05283619122233e-06	5.71703095011928e-06	6.49349600203664
CLPTM1L	-5.82140314002809	6.3937923348683	-19.7464436776389	1.05398562495385e-06	5.72202886871947e-06	6.52079298712417
CCDC86	-5.1659588477652	5.81910382362503	-19.7454056573595	1.0543148998353e-06	5.72257298663594e-06	6.49692089025173
OTUD6B	-4.87589502902023	5.06217922443241	-19.7399243259567	1.05605564310007e-06	5.73077632215727e-06	6.44689527100525
MRPS16	-6.47643349698479	6.7356199353291	-19.7374565274681	1.05684045028553e-06	5.73378975242862e-06	6.52903333040324
ARPC5L	-5.39965921441015	5.47440973228057	-19.7360939035036	1.05727408166621e-06	5.7348970161417e-06	6.47543859120393
SMG6	-5.53503588662471	5.36471861649264	-19.7327944630211	1.05832492923662e-06	5.7382205110619e-06	6.46753180970857
POLR3F	-4.44753471114427	4.44018768023975	-19.7321550552295	1.05852871650591e-06	5.7382205110619e-06	6.38076026160702
EIF5B	-8.48513160206279	8.22143415628631	-19.7320072764651	1.05857582194542e-06	5.7382205110619e-06	6.55783318805094
PRKACB	-6.28580928443707	5.88301088827084	-19.730612841324	1.05902042732973e-06	5.73938532676916e-06	6.49600536085769
MAEA	-5.89401957009027	6.28643887372816	-19.7295596952777	1.05935635924993e-06	5.73944699107615e-06	6.51238667679297
THG1L	-4.46831849913416	4.43711655960657	-19.7291369056852	1.05949125531713e-06	5.73944699107615e-06	6.37961376657183
METTL2A	-4.81473185089404	5.09906043359699	-19.7276052092718	1.05998012877769e-06	5.73962612521333e-06	6.44664560457016
WDCP	-4.99261249913164	5.33282989513033	-19.7275937498241	1.05998378729324e-06	5.73962612521333e-06	6.46398078084851
ZNF845	-4.46294303839113	4.721689361125	-19.7245041137484	1.06097071337051e-06	5.74372530939304e-06	6.41117630331507
EMC2	-5.20870579893529	5.23042853815886	-19.7137355658664	1.06441889244707e-06	5.76114419603499e-06	6.45312488245483
ZFP90	-5.49421161643578	5.06143828777513	-19.7127810512595	1.0647251647889e-06	5.76155371823391e-06	6.43977155069378
PLPP5	-4.74382537048328	4.65353174489357	-19.7111729868382	1.06524137173865e-06	5.76309883748773e-06	6.40053964186625
TLCD3A	-4.84323028370139	4.74862171970641	-19.7045303948334	1.06737680817397e-06	5.77340164005598e-06	6.40882529169785
ADAT1	-4.84667353893244	4.73841042524109	-19.7036008172485	1.06767604262093e-06	5.77377018373188e-06	6.40754874336544
DNAJA3	-5.96219377645983	6.27652629431534	-19.6998340401441	1.06888958181122e-06	5.7790818679878e-06	6.50388216027735
TRMT5	-5.31966971069403	5.35078695074388	-19.6967540390563	1.06988305603859e-06	5.78320170317356e-06	6.45706282681616
ZKSCAN1	-5.06691444952287	5.5507986373489	-19.6932175146879	1.07102511044716e-06	5.78812272537571e-06	6.46863844309092
SOCS4	-5.39444947633557	5.02468762966685	-19.687832749953	1.07276674543431e-06	5.79628122143834e-06	6.43021328380274
STRADB	-6.28170766857661	5.88296989058517	-19.6868880176008	1.07307264708619e-06	5.79668043563271e-06	6.48418296706637
PEX13	-5.17812657099306	4.96386070156811	-19.682126118504	1.07461608278342e-06	5.80376312413767e-06	6.42345935381172
FAT3	-6.58963587283032	5.89466119612761	-19.6797070853762	1.07540113387833e-06	5.80674776935729e-06	6.48278435828975
