WT_P62	Y2_P37_28	YT2_P37_7_17
0	0	0
0	0	0
0	0	0
0	0	0
0	2	0
1185	1578	2085
0	0	0
3	1	3
9	10	10
0	0	0
0	0	0
0	0	0
353	606	917
0	0	0
0	0	0
1	0	1
0	0	0
2019	2015	935
910	1192	873
7219	9498	7188
38	32	15
2406	3926	7651
0	1	0
1	1	1
1897	2642	1910
17	33	13
0	1	0
757	1131	1834
919	1982	2780
0	0	0
0	0	0
0	0	0
0	0	0
2	0	0
0	0	0
1	3	4
0	0	0
0	0	1
1476	2138	2341
2752	4587	4163
0	0	0
3481	5661	7137
0	0	0
1975	2098	2015
0	0	0
0	0	0
642	1481	1954
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
126	146	178
0	0	0
0	0	0
0	0	0
0	0	0
2	8	2
1310	2240	2433
0	0	0
2	13	7
0	0	1
0	1	2
553	170	35
1	0	0
1	0	0
0	0	0
4	2	0
0	0	0
0	0	0
16	3	0
1	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
5	4	12
0	0	0
0	1	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
14	13	18
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
7	19	11
0	0	0
0	0	0
0	0	0
3388	7043	10389
0	0	0
0	0	0
1	2	2
0	0	0
1043	1856	2070
2	0	0
1	0	0
530	1166	1109
0	0	0
0	0	4
0	5	0
0	0	0
0	0	0
0	0	0
0	0	0
9	30	17
0	0	0
107	112	99
0	0	0
416	643	821
0	0	0
0	0	1
3	1	0
121	132	228
10	15	14
0	1	1
0	0	0
1033	2051	2619
1	1	2
0	0	0
0	0	0
632	1328	1171
1084	1215	1314
1	0	0
1	1	4
279	275	500
2	4	4
98	216	218
0	0	0
0	1	1
1	0	0
2168	2682	3418
1	1	0
0	0	0
2732	3529	3982
0	0	0
14	37	53
1	1	0
84	34	22
